skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
architects,Domain-Specific / Other,Architects,2,,hard,Domain-Specific / Other
architectural,Domain-Specific / Other,Architectural,2,,hard,Domain-Specific / Other
architecture,Domain-Specific / Other,Architecture,2,,hard,Domain-Specific / Other
archival,Domain-Specific / Other,Archival,2,,hard,Domain-Specific / Other
archiving,Domain-Specific / Other,Archiving,2,,hard,Domain-Specific / Other
ariba,Domain-Specific / Other,Ariba,2,,hard,Domain-Specific / Other
arithmetic,Domain-Specific / Other,Arithmetic,2,,hard,Domain-Specific / Other
arrangement,Domain-Specific / Other,Arrangement,2,,hard,Domain-Specific / Other
assembly,Domain-Specific / Other,Assembly,2,,hard,Domain-Specific / Other
assertiveness,Domain-Specific / Other,Assertiveness,2,,hard,Domain-Specific / Other
assessment,Domain-Specific / Other,Assessment,2,,hard,Domain-Specific / Other
assessments,Domain-Specific / Other,Assessments,2,,hard,Domain-Specific / Other
assurance,Domain-Specific / Other,Assurance,2,,hard,Domain-Specific / Other
asthma,Domain-Specific / Other,Asthma,2,,hard,Domain-Specific / Other
astm,Domain-Specific / Other,Astm,2,,hard,Domain-Specific / Other
astrophysics,Domain-Specific / Other,Astrophysics,2,,hard,Domain-Specific / Other
atlassian,Domain-Specific / Other,Atlassian,2,,hard,Domain-Specific / Other
atomic,Domain-Specific / Other,Atomic,2,,hard,Domain-Specific / Other
autism,Domain-Specific / Other,Autism,2,,hard,Domain-Specific / Other
autodesk,Domain-Specific / Other,Autodesk,2,,hard,Domain-Specific / Other
autoimmune,Domain-Specific / Other,Autoimmune,2,,hard,Domain-Specific / Other
automated,Domain-Specific / Other,Automated,2,,hard,Domain-Specific / Other
automotive,Domain-Specific / Other,Automotive,2,,hard,Domain-Specific / Other
autonomous,Domain-Specific / Other,Autonomous,2,,hard,Domain-Specific / Other
autonomy,Domain-Specific / Other,Autonomy,2,,hard,Domain-Specific / Other
autosar,Domain-Specific / Other,Autosar,2,,hard,Domain-Specific / Other
aviation,Domain-Specific / Other,Aviation,2,,hard,Domain-Specific / Other
avionics,Domain-Specific / Other,Avionics,2,,hard,Domain-Specific / Other
bachelor,Domain-Specific / Other,Bachelor,2,,hard,Domain-Specific / Other
backend,Domain-Specific / Other,Backend,2,,hard,Domain-Specific / Other
backlog,Domain-Specific / Other,Backlog,2,,hard,Domain-Specific / Other
